,communication skills,Interpersonal Skills,analytical, problem solving  skills,Team player,Organizational Skills,Fast learner,Ability to work Independently ,Innovative,Adoptable to changes,Work Ethics,Customer Focus,Proactive,Work under pressure,Detail oriented,Cirtical Thinking,Motivated ,Commited,Quality oriented,Goal oriented
,,,,,,,,,,,,,,,,,,,,
Advertisment 1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 11,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
Advertisment 12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 13,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Advertisment 14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 18,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0
Advertisment 19,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Advertisment 23,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Advertisment 24,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 25,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Advertisment 26,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 27,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 29,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 30,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 31,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
Advertisment 32,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 33,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 34,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 35,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Advertisment 36,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 37,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Advertisment 38,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 39,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 41,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 42,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 43,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 45,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Advertisment 46,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 47,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 49,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Advertisment 50,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 52,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 53,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 54,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Advertisment 55,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Advertisment 56,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 57,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 58,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 60,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Advertisment 61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 62,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 63,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 64,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 65,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 66,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 67,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 68,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Advertisment 69,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 70,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 71,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 72,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 73,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 74,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 77,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 78,1,0,1,1,1,`,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 79,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 80,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 81,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 82,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Advertisment 83,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Advertisment 84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 86,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 88,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 89,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 92,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 93,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
Advertisment 94,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 95,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 97,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Advertisment 98,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 99,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Advertisment 100,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 101,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Advertisment 102,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 103,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 104,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Advertisment 105,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 106,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
Advertisment 107,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Advertisment 108,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 109,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 110,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Advertisment 111,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Advertisment 112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 114,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 116,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 117,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 119,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 120,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 121,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
Advertisment 122,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 123,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 125,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Advertisment 126,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 127,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
Advertisment 128,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 129,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 130,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 131,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Advertisment 132,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Advertisment 133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 135,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 136,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 137,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 138,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 140,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 141,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 142,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
Advertisment 143,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 144,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Advertisment 145,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 146,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Advertisment 147,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Advertisment 148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 150,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 151,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 152,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 153,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 155,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 156,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 157,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
Advertisment 158,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 159,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,142,20,85,78,80,15,29,41,4,12,7,9,6,11,24,8,7,2,1,3
,88.75,12.5,53.125,48.75,50,9.375,18.125,25.625,2.5,7.5,4.375,5.625,3.75,6.875,15,5,4.375,1.25,0.625,1.875
