,Software Engineering,,,operating system,Specific Development tools and Frameworks,,,,,,,,,,,
,SDLC knowledge,Agile Knowledge,Analysis and Desgin,,Mobile app,Plat form,web app,Oracal/SQL knowledge ,programming skills,,,,,,,Plat form
,,,,,,,,,HTML,CSS,C#,Java,Java Scripting,Oracal/SQL  scripting,,
Advertisment 1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,,
Advertisment 2,1,0,1,0,1,0,1,1,0,0,0,0,0,1,,
Advertisment 3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,
Advertisment 4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Advertisment 5,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,
Advertisment 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Advertisment 7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,
Advertisment 8,0,0,0,0,1,1,1,1,0,0,0,0,0,1,,.Net plateform
Advertisment 9,0,1,1,0,0,1,0,1,1,1,0,0,0,1,,Azure plate form
Advertisment 10,1,0,0,0,1,1,1,1,0,0,1,0,0,1,,Asp.net
Advertisment 11,1,1,0,0,0,1,0,1,0,0,0,0,0,1,,Azure Devopps
Advertisment 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Advertisment 13,1,0,0,0,1,0,1,1,0,0,0,0,0,1,,
Advertisment 14,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,
Advertisment 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Advertisment 16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,
Advertisment 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Advertisment 18,1,1,1,1,1,0,1,0,0,0,0,0,1,0,,
Advertisment 19,1,1,0,0,0,0,0,1,0,0,0,0,0,1,,
Advertisment 20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,
Advertisment 21,1,1,1,0,1,1,1,1,0,0,0,0,0,1,,
Advertisment 22,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 24,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0
Advertisment 25,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
Advertisment 26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Advertisment 27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 29,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0
Advertisment 30,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Advertisment 31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 33,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 34,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0
Advertisment 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 36,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 37,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Advertisment 38,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Advertisment 39,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
Advertisment 40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 42,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Advertisment 43,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Advertisment 44,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Advertisment 45,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Advertisment 46,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
Advertisment 47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 48,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Advertisment 49,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Advertisment 50,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,Microsoft
Advertisment 51,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Advertisment 52,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 53,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 54,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
Advertisment 55,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0
Advertisment 56,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 57,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0
Advertisment 58,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 59,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 60,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Advertisment 61,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Advertisment 62,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Advertisment 63,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 64,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0
Advertisment 65,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Advertisment 66,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 67,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
Advertisment 68,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 69,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0
Advertisment 70,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 71,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
Advertisment 72,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 73,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Advertisment 74,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Advertisment 75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Advertisment 76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 85,0,0,0,1,1,0,0,1,0,0,0,0,0,0,,0
Advertisment 86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 108,1,1,1,0,0,0,1,0,0,0,0,0,0,1,,0
Advertisment 109,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 110,1,0,1,0,0,0,0,0,0,0,0,0,0,1,,0
Advertisment 111,1,0,1,0,0,0,0,0,1,1,1,1,0,0,,0
Advertisment 112,1,1,1,0,0,0,1,1,0,0,0,0,0,1,,0
Advertisment 113,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 114,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,0
Advertisment 115,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,0
Advertisment 116,1,0,1,0,1,0,1,1,0,0,0,0,0,0,,0
Advertisment 117,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,0
Advertisment 118,1,1,1,0,1,0,1,1,0,0,0,0,0,0,,0
Advertisment 119,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,0
Advertisment 120,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,0
Advertisment 121,1,1,1,0,0,0,0,0,0,0,1,0,0,0,,0
Advertisment 122,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 124,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
Advertisment 125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 128,1,1,1,0,0,0,1,0,0,0,0,0,0,1,,0
Advertisment 129,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 130,1,0,1,0,0,0,0,0,0,0,0,0,0,1,,0
Advertisment 131,1,0,1,0,0,0,0,0,1,1,1,1,0,0,,0
Advertisment 132,1,1,1,0,0,0,1,1,0,0,0,0,0,1,,0
Advertisment 133,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 134,1,1,1,0,1,0,1,1,0,0,0,0,0,1,,0
Advertisment 135,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,0
Advertisment 136,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0
Advertisment 137,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 138,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 139,1,0,1,0,0,0,0,0,1,1,1,1,0,0,,0
Advertisment 140,1,1,1,0,0,0,1,1,0,0,0,0,0,0,,0
Advertisment 141,1,0,1,0,0,0,0,0,0,0,0,0,0,1,,0
Advertisment 142,1,1,1,0,1,0,1,1,0,0,0,0,0,0,,0
Advertisment 143,1,1,1,0,0,0,0,1,0,0,0,0,0,1,,0
Advertisment 144,1,0,1,0,1,0,1,1,0,0,0,0,0,0,,0
Advertisment 145,1,1,1,0,0,0,0,1,0,0,0,0,0,1,,0
Advertisment 146,1,1,1,0,1,0,1,1,0,0,0,0,0,0,,0
Advertisment 147,1,1,1,0,0,0,0,1,0,0,0,0,0,1,,0
Advertisment 148,1,1,1,0,0,0,1,0,0,0,0,0,0,0,,0
Advertisment 149,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 150,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 151,1,0,1,0,0,0,0,0,1,1,1,1,0,0,,0
Advertisment 152,1,1,1,0,0,0,1,1,0,0,0,0,0,0,,0
Advertisment 153,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0
Advertisment 154,1,1,1,0,1,0,1,1,0,0,0,0,0,0,,0
Advertisment 155,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,0
Advertisment 156,1,0,1,0,1,0,1,1,0,0,0,0,0,0,,0
Advertisment 157,1,1,1,0,0,0,0,1,0,0,0,0,0,1,,0
Advertisment 158,1,1,1,0,1,0,1,1,0,0,0,0,0,0,,0
Advertisment 159,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,0
Advertisment 160,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,0
,108,57,86,5,31,7,51,65,9,7,12,9,3,28,,
,67.5,35.625,53.75,3.125,19.375,4.375,31.875,40.625,5.625,4.375,7.5,5.625,1.875,17.5,,
,,52.29166667,,,,,,,,,,,,,,
,,,,,,18.54166667,,,7.083333333,,,,,,,
